Assunto
Aaaa
Acoes
ALUPAR
AMBEV
AUREN ENERGIA S.A.
B3
BANCO BRASIL
BB SEGURIDADE
BBAS3  5 açoes
BRADESCO
BRADESPAR
CAGR Lucros 5 anos
CEMIG
Cmig 4 acoes
CPFL ENERGIA
Dividend Payout
Liquidez Ativos
WACC
Testar tarefa que tenha prazo de conclusão
Tarefa com Lembrete
Subtarefa (Ligação com Nota)
CAGR Receitas 5 anos
Tarefa concluída
Dívida Líquida/EBIT
Dívida Líquida/EBITDA
Dívida Líquida/Patrimônio Líquido
 Dividend Yield (DY)
EV/EBIT
EV/EBITDA
Giro do Ativo
Liquidez Corrente
LPA
Margem Bruta
Margem EBIT
Margem EBITDA
Margem Líquida
P/ATIVO
P/Ativo Circulante Líquido
P/Capital de Giro
P/EBIT
P/EBITDA
Preço sobre Lucro (P/L)
Preço sobre Valor Patrimonial (P/VPA)
Patrimônio/Ativos
PSR
ROA
ROE
ROIC
VPA
